"No.","Time","Delta displayed","Source","Destination","Protocol","Length","Info"
"49","0.016996600","0.000191200","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1326","Audio Video Transport Protocol"
"50","0.017244000","0.000247400","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1326","Audio Video Transport Protocol"
"51","0.017471700","0.000227700","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1326","Audio Video Transport Protocol"
"52","0.018550600","0.001078900","MercedesBenz_00:00:1a","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"53","0.018550600","0.000000000","MercedesBenz_00:00:1a","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"54","0.018550600","0.000000000","MercedesBenz_00:00:1a","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"55","0.018550600","0.000000000","MercedesBenz_00:00:1a","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"56","0.018978800","0.000428200","MercedesBenz_00:00:1a","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"57","0.018978800","0.000000000","MercedesBenz_00:00:1a","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"58","0.019188200","0.000209400","MercedesBenz_00:00:1a","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"59","0.019188200","0.000000000","MercedesBenz_00:00:1a","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"60","0.019188200","0.000000000","MercedesBenz_00:00:1a","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"61","0.019317700","0.000129500","MercedesBenz_00:00:1a","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"62","0.019487000","0.000169300","MercedesBenz_00:00:1a","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"63","0.019593200","0.000106200","MercedesBenz_00:00:1a","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"64","0.019718000","0.000124800","MercedesBenz_00:00:1a","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"65","0.019809900","0.000091900","MercedesBenz_00:00:1a","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"66","0.019929700","0.000119800","MercedesBenz_00:00:1a","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"67","0.020006400","0.000076700","MercedesBenz_00:00:1a","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"68","0.020114600","0.000108200","MercedesBenz_00:00:1a","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"69","0.020232700","0.000118100","MercedesBenz_00:00:1a","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"70","0.020313400","0.000080700","MercedesBenz_00:00:1a","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"71","0.020497900","0.000184500","MercedesBenz_00:00:1a","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"73","0.027046600","0.006548700","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1326","Audio Video Transport Protocol"
"74","0.027239600","0.000193000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1326","Audio Video Transport Protocol"
"75","0.027333100","0.000093500","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1326","Audio Video Transport Protocol"
"76","0.027528300","0.000195200","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1326","Audio Video Transport Protocol"
"77","0.027741900","0.000213600","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1326","Audio Video Transport Protocol"
"78","0.028161700","0.000419800","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1326","Audio Video Transport Protocol"
"79","0.028267800","0.000106100","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1326","Audio Video Transport Protocol"
"80","0.028486700","0.000218900","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1326","Audio Video Transport Protocol"
"81","0.028730000","0.000243300","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1326","Audio Video Transport Protocol"
"82","0.028959400","0.000229400","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1326","Audio Video Transport Protocol"
"83","0.029028400","0.000069000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1326","Audio Video Transport Protocol"
"84","0.029242900","0.000214500","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1326","Audio Video Transport Protocol"
"85","0.029481900","0.000239000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1326","Audio Video Transport Protocol"
"86","0.029676100","0.000194200","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1326","Audio Video Transport Protocol"
"87","0.029768700","0.000092600","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1326","Audio Video Transport Protocol"
"88","0.031364500","0.001595800","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1326","Audio Video Transport Protocol"
"89","0.031536700","0.000172200","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1326","Audio Video Transport Protocol"
"90","0.031755100","0.000218400","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1326","Audio Video Transport Protocol"
"91","0.031995900","0.000240800","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1326","Audio Video Transport Protocol"
"92","0.032186500","0.000190600","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1326","Audio Video Transport Protocol"
"99","0.038453000","0.006266500","MercedesBenz_00:00:1a","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"100","0.038621700","0.000168700","MercedesBenz_00:00:1a","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"101","0.038621700","0.000000000","MercedesBenz_00:00:1a","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"102","0.038621700","0.000000000","MercedesBenz_00:00:1a","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"103","0.038734400","0.000112700","MercedesBenz_00:00:1a","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"104","0.038831500","0.000097100","MercedesBenz_00:00:1a","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"105","0.038994300","0.000162800","MercedesBenz_00:00:1a","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"106","0.039255500","0.000261200","MercedesBenz_00:00:1a","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"107","0.039255500","0.000000000","MercedesBenz_00:00:1a","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"108","0.039255500","0.000000000","MercedesBenz_00:00:1a","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"109","0.039354500","0.000099000","MercedesBenz_00:00:1a","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"110","0.039462800","0.000108300","MercedesBenz_00:00:1a","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"111","0.039665800","0.000203000","MercedesBenz_00:00:1a","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"113","0.039665800","0.000000000","MercedesBenz_00:00:1a","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"114","0.039806500","0.000140700","MercedesBenz_00:00:1a","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"115","0.039923900","0.000117400","MercedesBenz_00:00:1a","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"116","0.040014800","0.000090900","MercedesBenz_00:00:1a","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"117","0.040217300","0.000202500","MercedesBenz_00:00:1a","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"118","0.040311700","0.000094400","MercedesBenz_00:00:1a","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"119","0.040446800","0.000135100","MercedesBenz_00:00:1a","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"121","0.042539200","0.002092400","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1326","Audio Video Transport Protocol"
"122","0.042707300","0.000168100","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1326","Audio Video Transport Protocol"
"123","0.042795900","0.000088600","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1326","Audio Video Transport Protocol"
"124","0.043001600","0.000205700","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1326","Audio Video Transport Protocol"
"125","0.043251600","0.000250000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1326","Audio Video Transport Protocol"
